Ponto|Nome|Apelido|Texto|Descriá∆o|Exemplo|Tipo|Texto no Log|Escopo				
inicial|inicialR1|disse alo, atendeu|Disse alì|Disse alì|Alì			|Interpretar|Alì.|local	
inicial|inicialR2|secretaria eletronica|Secret†ria eletrìnica|Secret†ria eletrìnica|(vocà acessou a caixa postal de...)|Interpretar|(Secret†ria eletrìnica)|local				
inicial|inicialR3|numero invalido|Sistema informa n£mero inv†lido|Sistema informa n£mero inv†lido|(Sistema informa n£mero inv†lido)|Informar Situaá‰es Externas|(Sistema informa n£mero inv†lido)|local				
triar|triarR1|quero conhecer|Disse que quer saber mais|Disse que quer saber mais|Quero saber mais	|Interpretar|Quero saber mais.|local			
triar|triarR2|nao quero conhecer|Disse que n∆o quer saber mais|Disse que n∆o quer saber mais|N∆o quero saber mais	|Interpretar|N∆o quero saber mais.|local			
triar|triarR3|sou cliente|Disse que Ç o cliente|Disse que Ç o cliente|Sou eu mesmo		|Interpretar|Sou eu mesmo.|local		
triar|triarR4|nao sou cliente|Disse que n∆o Ç o cliente|Disse que n∆o Ç o cliente|N∆o sou eu	|Interpretar|N∆o sou eu.|local			
triar|triarR5|nao conhece o cliente|Disse que n∆o conhece o cliente|Disse que n∆o conhece o cliente|N∆o conheáo	 n∆o sei quem Ç	|Interpretar|N∆o conheáo.|global		
triar|triarR6|conhece o cliente|Disse que conhece o cliente|Disse que conhece o cliente|Conheáo	 ê meu pai/irm∆o/m∆e/filha	|Interpretar|Conheáo a pessoa.|global		
triar|triarR7|nao pode falar agora|Disse que n∆o pode falar no momento|Disse que n∆o pode falar no momento|Agora n∆o estou podendo falar	 Agora Ç uma hora ruim	|Interpretar|N∆o posso falar agora.|global		
triar|triarR8|quer falar com quem|Perguntou com quem quer falar|Perguntou com quem quer falar|Vocà queria falar com quem mesmo?	|Interpretar|Com quem vocà quer falar?|global			
triar|triarR9|recomecar dialogo|Sistema recomeáa dialogo|Sistema recomeáa dialogo|Sobre o que vocà quer falar?	 (Outra pessoa pegou o telefone)	|Interpretar|(Sistema recomeáa dialogo).|global		
triar|triarR10|cliente faleceu|Disse que o cliente faleceu|Disse que o cliente faleceu|Ele faleceu	 ele morreu	|Interpretar|Faleceu.|global		
geral|geralR1|geral, nao quer ajuda|Disse que n∆o quer mais ajuda|Disse que n∆o quer mais ajuda|Era s¢ isso, obrigado	 N∆o	|Interpretar Informativo|Era s¢ isso.|global		
geral|geralR2|geral, quer ajuda|Disse que quer ajuda|Disse que quer ajuda|Vocà pode me ajudar?	 Sim, preciso de ajuda	|Interpretar Informativo|Vocà pode me ajudar?|global		
geral|geralR3|geral, mudo|N∆o disse nada ou ligaá∆o ficou muda|N∆o disse nada ou ligaá∆o ficou muda|(Mudo)	|Interpretar Informativo|(Mudo).|global			
geral|geralR4|geral, cliente pede para repetir|Disse para repetir|Disse para repetir|Pode repetir, por favor?	|Interpretar Informativo|Pode repetir?|global			
geral|geralR5|geral, quer alterar endereco|Disse para alterar endereáo|Disse para alterar endereáo|Altera meu endereáo	 Pode atualizar meu endereáo?|Interpretar Informativo|Altera meu endereáo.|global			
geral|geralR6|geral, cliente pede pra aguardar|Disse para aguardar|Disse para aguardar|Espera um pouco	 Aguarda um minuto	|Interpretar Informativo|Espera um pouco.|global		
geral|geralR7|geral, eh golpe|Disse que Ç golpe|Disse que Ç golpe|Isso Ç golpe	|Interpretar Informativo|Isso Ç golpe.|global			
geral|geralR8|geral, neutro|Disse algo neutro|Disse algo neutro|Oi	|Interpretar Informativo|(Disse algo neutro).|global			
geral|geralR9|geral, nao previsto|Disse algo n∆o previsto|Disse algo n∆o previsto|(Disse algo n∆o previsto)|Interpretar Informativo|(Disse algo n∆o previsto).|global				
geral|geralR10|geral, perguntou horario atendimento|Perguntou o hor†rio de atendimento|Perguntou o hor†rio de atendimento|Qual Ç o hor†rio de atendimento?	 Qual hor†rio de atendimento da Central?	 Qual hor†rio de atendimento do SAC?	|Interpretar Informativo|Qual Ç o hor†rio de atendimento?|global	
geral|geralR11|geral, nao ligar mais|Disse para n∆o ligar mais|Disse para n∆o ligar mais|N∆o quero que me ligue de novo	 N∆o me ligue mais	|Interpretar Informativo|N∆o quero que me ligue de novo.|global		
geral|geralR12|geral, perguntou se eh robo|Perguntou se est† falando com um robì|Perguntou se est† falando com um robì|Vocà Ç um robì?	 Vocà n∆o Ç humana, Ç?	|Interpretar Informativo|Vocà Ç um robì?|global		
geral|geralR13|geral, improprio|Disse algo impr¢prio|Disse algo impr¢prio|(Disse algo impr¢prio)|Interpretar Informativo|(Disse algo impr¢prio).|global				
geral|geralR14|geral, nao entendi|Disse algo n∆o compreens°vel|Disse algo n∆o compreens°vel|(Falou muito r†pido)	 (Falou longe do celular, telefone)	|Interpretar Informativo|(Falou muito r†pido ou embolado).|global		
geral|geralR15|geral, impreciso|Disse algo muito genÇrico, vago, impreciso|Disse algo muito genÇrico, vago, impreciso|(Disse algo muito genÇrico, vago, impreciso)	|Interpretar Informativo|(Disse algo muito genÇrico, vago, impreciso).|global			
geral|geralR16|geral, atendente|Disse que quer falar com atendente|Disse que quer falar com atendente|Quero falar com um atendente	 Me passa pro atendente, por favor	|Interpretar Informativo|Quero falar com um atendente.|global		
geral|geralR17|geral, pedir para soletrar|Sistema solicita que o cliente soletre a palavra|Sistema solicita que o cliente soletre a palavra|(Sistema solicita que o cliente soletre a palavra)	|Interpretar Informativo|(Sistema solicita que o cliente soletre a palavra).|global			
geral|geralR18|geral, perguntou se esta ouvindo|Perguntou se est† ouvindo|Perguntou se est† ouvindo|T† me ouvindo?	 Tem alguÇm a°?	|Interpretar Informativo|Est† me ouvindo?|global		
geral|geralR19|geral, quer alterar email|Disse que quer alterar o e-mail cadastrado|Disse que quer alterar o e-mail cadastrado|Altera meu e-mail.|Interpretar Informativo|Altera meu e-mail.|global				
obterVeiculo|obterVeiculoR1|veiculo correto|Disse o modelo do ve°culo corretamente|Disse o modelo do ve°culo corretamente|ê um Ford Fiesta	 Foi um Fiesta	 Foi um Fiesta Titanium Plus 1.6	|Interpretar|(Disse modelo corretamente).|local	
obterVeiculo|obterVeiculoR2|veiculo errado|Disse o modelo do ve°culo incorretamente ou apenas a marca|Disse o modelo do ve°culo incorretamente ou apenas a marca|Foi um Ford	|Interpretar|(Disse modelo incorretamente).|local			
obterVeiculo|obterVeiculoR3|nao quer informar veiculo|Disse que n∆o quer informar o ve°culo|Disse que n∆o quer informar o ve°culo|N∆o vou te informar o modelo	 n∆o quero informar	|Interpretar|N∆o quero informar o modelo do ve°culo.|local		
obterVeiculo|obterVeiculoR4|nao lembra qual veiculo|Disse que n∆o lembra modelo do ve°culo|Disse que n∆o lembra modelo do ve°culo|N∆o lembro	 sei l†	|Interpretar|N∆o lembro o modelo do ve°culo.|local		
ofertarCartao|ofertarCartaoR1|link, aceitou|Disse aceita link|Disse aceita link|Sim	 Pode enviar o link	 Aceito	|Interpretar|Pode enviar o link.|global	
ofertarCartao|ofertarCartaoR2|link, recusou|Disse n∆o aceita link|Disse n∆o aceita link|N∆o	 N∆o quero o link	|Interpretar|N∆o quero o link.|global		
ofertarCartao|ofertarCartaoR3|quer pensar na oferta|Disse que quer pensar na oferta|Disse que quer pensar na oferta|Deixa eu pensar melhor	 Vou pensar e depois te digo.|Interpretar|Quero pensar melhor na oferta.|global			
enviarLink|enviarLinkR1|link apenas pelo whatsapp|Disse que quer receber o link somente por WhatsApp|Disse que quer receber o link somente por WhatsApp|Quero receber somente pelo WhatsApp	|Interpretar|Quero receber somente pelo WhatsApp.|global			
